State,Education,TimeFrame,Data
United States,Associate's Degree,2016,15316000
United States,Bachelor's Degree,2016,35067000
United States,Graduate degree,2016,20146000
United States,Not a high school graduate,2017,18672000
United States,High school diploma or GED,2017,79422000
United States,Associate's Degree,2017,15610000
United States,Not a high school graduate,2018,18250000
United States,High school diploma or GED,2018,78811000
United States,Associate's Degree,2018,15705000
United States,Bachelor's Degree,2018,36489000
United States,Graduate degree,2018,21480000
United States,Bachelor's Degree,2017,35885000
United States,Graduate degree,2017,20845000
Alabama,Not a high school graduate,2000,429000
Alabama,High school diploma or GED,2000,1172000
Alabama,Associate's Degree,2000,170000
Alabama,Bachelor's Degree,2000,314000
Alabama,Graduate degree,2000,172000
Alabama,Not a high school graduate,2001,372000
Alabama,High school diploma or GED,2001,1249000
Alabama,Associate's Degree,2001,174000
Alabama,Bachelor's Degree,2001,308000
Alabama,Graduate degree,2001,168000
Alabama,Not a high school graduate,2002,371000
Alabama,High school diploma or GED,2002,1225000
Alabama,Associate's Degree,2002,176000
Alabama,Bachelor's Degree,2002,333000
Alabama,Graduate degree,2002,187000
Alabama,Not a high school graduate,2003,384000
Alabama,High school diploma or GED,2003,1214000
Alabama,Associate's Degree,2003,174000
Alabama,Bachelor's Degree,2003,353000
Alabama,Graduate degree,2003,179000
Alabama,Not a high school graduate,2004,382000
Alabama,High school diploma or GED,2004,1224000
Alabama,Associate's Degree,2004,183000
Alabama,Bachelor's Degree,2004,352000
Alabama,Graduate degree,2004,203000
Alabama,Not a high school graduate,2005,377000
Alabama,High school diploma or GED,2005,1263000
Alabama,Associate's Degree,2005,182000
Alabama,Bachelor's Degree,2005,351000
Alabama,Graduate degree,2005,198000
Alabama,Not a high school graduate,2006,384000
Alabama,High school diploma or GED,2006,1293000
Alabama,Associate's Degree,2006,185000
Alabama,Bachelor's Degree,2006,352000
Alabama,Graduate degree,2006,199000
Alabama,Not a high school graduate,2007,384000
Alabama,High school diploma or GED,2007,1295000
Alabama,Associate's Degree,2007,184000
Alabama,Bachelor's Degree,2007,356000
Alabama,Graduate degree,2007,202000
Alabama,Not a high school graduate,2008,358000
Alabama,High school diploma or GED,2008,1311000
Alabama,Associate's Degree,2008,192000
Alabama,Bachelor's Degree,2008,385000
Alabama,Graduate degree,2008,194000
Alabama,Not a high school graduate,2009,368000
Alabama,High school diploma or GED,2009,1318000
Alabama,Associate's Degree,2009,197000
Alabama,Bachelor's Degree,2009,387000
Alabama,Graduate degree,2009,196000
Alabama,Not a high school graduate,2010,383000
Alabama,High school diploma or GED,2010,1333000
Alabama,Associate's Degree,2010,205000
Alabama,Bachelor's Degree,2010,380000
Alabama,Graduate degree,2010,203000
Alabama,Not a high school graduate,2011,373000
Alabama,High school diploma or GED,2011,1343000
Alabama,Associate's Degree,2011,210000
Alabama,Bachelor's Degree,2011,379000
Alabama,Graduate degree,2011,214000
Alabama,Not a high school graduate,2012,343000
Alabama,High school diploma or GED,2012,1337000
Alabama,Associate's Degree,2012,211000
Alabama,Bachelor's Degree,2012,402000
Alabama,Graduate degree,2012,216000
Alabama,Not a high school graduate,2013,336000
Alabama,High school diploma or GED,2013,1326000
Alabama,Associate's Degree,2013,227000
Alabama,Bachelor's Degree,2013,398000
Alabama,Graduate degree,2013,218000
Alabama,Not a high school graduate,2014,330000
Alabama,High school diploma or GED,2014,1336000
Alabama,Associate's Degree,2014,222000
Alabama,Bachelor's Degree,2014,399000
Alabama,Graduate degree,2014,223000
Alabama,Not a high school graduate,2015,346000
Alabama,High school diploma or GED,2015,1314000
Alabama,Associate's Degree,2015,228000
Alabama,Bachelor's Degree,2015,414000
Alabama,Graduate degree,2015,217000
Alabama,Not a high school graduate,2016,337000
Alabama,High school diploma or GED,2016,1302000
Alabama,Associate's Degree,2016,229000
Alabama,Bachelor's Degree,2016,414000
Alabama,Graduate degree,2016,235000
Alabama,Not a high school graduate,2017,295000
Alabama,High school diploma or GED,2017,1310000
Alabama,Associate's Degree,2017,234000
Alabama,Bachelor's Degree,2017,432000
Alabama,Not a high school graduate,2018,304000
Alabama,High school diploma or GED,2018,1296000
Alabama,Associate's Degree,2018,243000
Alabama,Bachelor's Degree,2018,430000
Alabama,Graduate degree,2018,235000
Alabama,Graduate degree,2017,236000
Alaska,Not a high school graduate,2000,35000
Alaska,High school diploma or GED,2000,184000
Alaska,Associate's Degree,2000,26000
Alaska,Bachelor's Degree,2000,59000
Alaska,Graduate degree,2000,30000
Alaska,Not a high school graduate,2001,29000
Alaska,High school diploma or GED,2001,189000
Alaska,Associate's Degree,2001,30000
Alaska,Bachelor's Degree,2001,59000
Alaska,Graduate degree,2001,31000
Alaska,Not a high school graduate,2002,31000
Alaska,High school diploma or GED,2002,188000
Alaska,Associate's Degree,2002,27000
Alaska,Bachelor's Degree,2002,65000
Alaska,Graduate degree,2002,33000
Alaska,Not a high school graduate,2003,24000
Alaska,High school diploma or GED,2003,197000
Alaska,Associate's Degree,2003,26000
Alaska,Bachelor's Degree,2003,61000
Alaska,Graduate degree,2003,31000
Alaska,Not a high school graduate,2004,23000
Alaska,High school diploma or GED,2004,194000
Alaska,Associate's Degree,2004,29000
Alaska,Bachelor's Degree,2004,64000
Alaska,Graduate degree,2004,32000
Alaska,Not a high school graduate,2005,24000
Alaska,High school diploma or GED,2005,197000
Alaska,Associate's Degree,2005,28000
Alaska,Bachelor's Degree,2005,62000
Alaska,Graduate degree,2005,35000
Alaska,Not a high school graduate,2006,32000
Alaska,High school diploma or GED,2006,209000
Alaska,Associate's Degree,2006,29000
Alaska,Bachelor's Degree,2006,67000
Alaska,Graduate degree,2006,35000
Alaska,Not a high school graduate,2007,30000
Alaska,High school diploma or GED,2007,212000
Alaska,Associate's Degree,2007,34000
Alaska,Bachelor's Degree,2007,62000
Alaska,Graduate degree,2007,37000
Alaska,Not a high school graduate,2008,25000
Alaska,High school diploma or GED,2008,214000
Alaska,Associate's Degree,2008,33000
Alaska,Bachelor's Degree,2008,68000
Alaska,Graduate degree,2008,36000
Alaska,Not a high school graduate,2009,26000
Alaska,High school diploma or GED,2009,220000
Alaska,Associate's Degree,2009,30000
Alaska,Bachelor's Degree,2009,69000
Alaska,Graduate degree,2009,34000
Alaska,Not a high school graduate,2010,31000
Alaska,High school diploma or GED,2010,218000
Alaska,Associate's Degree,2010,35000
Alaska,Bachelor's Degree,2010,76000
Alaska,Graduate degree,2010,36000
Alaska,Not a high school graduate,2011,27000
Alaska,High school diploma or GED,2011,235000
Alaska,Associate's Degree,2011,31000
Alaska,Bachelor's Degree,2011,69000
Alaska,Graduate degree,2011,37000
Alaska,Not a high school graduate,2012,27000
Alaska,High school diploma or GED,2012,226000
Alaska,Associate's Degree,2012,36000
Alaska,Bachelor's Degree,2012,71000
Alaska,Graduate degree,2012,43000
Alaska,Not a high school graduate,2013,28000
Alaska,High school diploma or GED,2013,225000
Alaska,Associate's Degree,2013,35000
Alaska,Bachelor's Degree,2013,75000
Alaska,Graduate degree,2013,35000
Alaska,Not a high school graduate,2014,23000
Alaska,High school diploma or GED,2014,228000
Alaska,Associate's Degree,2014,35000
Alaska,Bachelor's Degree,2014,73000
Alaska,Graduate degree,2014,37000
Alaska,Not a high school graduate,2015,26000
Alaska,High school diploma or GED,2015,222000
Alaska,Associate's Degree,2015,33000
Alaska,Bachelor's Degree,2015,76000
Alaska,Graduate degree,2015,42000
Alaska,Not a high school graduate,2016,25000
Alaska,High school diploma or GED,2016,224000
Alaska,Associate's Degree,2016,37000
Alaska,Bachelor's Degree,2016,78000
Alaska,Graduate degree,2016,40000
Alaska,Not a high school graduate,2017,30000
Alaska,Graduate degree,2017,41000
Alaska,Not a high school graduate,2018,23000
Alaska,High school diploma or GED,2018,222000
Alaska,Associate's Degree,2018,34000
Alaska,Bachelor's Degree,2018,74000
Alaska,Graduate degree,2018,44000
Alaska,High school diploma or GED,2017,218000
Alaska,Associate's Degree,2017,37000
Alaska,Bachelor's Degree,2017,72000
Arizona,Not a high school graduate,2000,440000
Arizona,High school diploma or GED,2000,1302000
Arizona,Associate's Degree,2000,200000
Arizona,Bachelor's Degree,2000,388000
Arizona,Graduate degree,2000,210000
Arizona,Not a high school graduate,2001,479000
Arizona,High school diploma or GED,2001,1267000
Arizona,Associate's Degree,2001,200000
Arizona,Bachelor's Degree,2001,415000
Arizona,Graduate degree,2001,206000
Arizona,Not a high school graduate,2002,442000
Arizona,High school diploma or GED,2002,1390000
Arizona,Associate's Degree,2002,208000
Arizona,Bachelor's Degree,2002,430000
Arizona,Graduate degree,2002,223000
Arizona,Not a high school graduate,2003,415000
Arizona,High school diploma or GED,2003,1406000
Arizona,Associate's Degree,2003,230000
Arizona,Bachelor's Degree,2003,455000
Arizona,Graduate degree,2003,235000
Arizona,Not a high school graduate,2004,421000
Arizona,High school diploma or GED,2004,1444000
Arizona,Associate's Degree,2004,246000
Arizona,Bachelor's Degree,2004,471000
Arizona,Graduate degree,2004,257000
Arizona,Not a high school graduate,2005,447000
Arizona,High school diploma or GED,2005,1473000
Arizona,Associate's Degree,2005,267000
Arizona,Bachelor's Degree,2005,507000
Arizona,Graduate degree,2005,274000
Arizona,Not a high school graduate,2006,478000
Arizona,High school diploma or GED,2006,1585000
Arizona,Associate's Degree,2006,267000
Arizona,Bachelor's Degree,2006,545000
Arizona,Graduate degree,2006,289000
Arizona,Not a high school graduate,2007,508000
Arizona,High school diploma or GED,2007,1620000
Arizona,Associate's Degree,2007,281000
Arizona,Bachelor's Degree,2007,553000
Arizona,Graduate degree,2007,294000
Arizona,Not a high school graduate,2008,519000
Arizona,High school diploma or GED,2008,1666000
Arizona,Associate's Degree,2008,285000
Arizona,Bachelor's Degree,2008,558000
Arizona,Graduate degree,2008,301000
Arizona,Not a high school graduate,2009,507000
Arizona,High school diploma or GED,2009,1699000
Arizona,Associate's Degree,2009,289000
Arizona,Bachelor's Degree,2009,581000
Arizona,Graduate degree,2009,306000
Arizona,Not a high school graduate,2010,451000
Arizona,High school diploma or GED,2010,1664000
Arizona,Associate's Degree,2010,288000
Arizona,Bachelor's Degree,2010,565000
Arizona,Graduate degree,2010,292000
Arizona,Not a high school graduate,2011,459000
Arizona,High school diploma or GED,2011,1653000
Arizona,Associate's Degree,2011,295000
Arizona,Bachelor's Degree,2011,581000
Arizona,Graduate degree,2011,300000
Arizona,Not a high school graduate,2012,456000
Arizona,High school diploma or GED,2012,1640000
Arizona,Associate's Degree,2012,301000
Arizona,Bachelor's Degree,2012,593000
Arizona,Graduate degree,2012,320000
Arizona,Not a high school graduate,2013,467000
Arizona,High school diploma or GED,2013,1632000
Arizona,Associate's Degree,2013,310000
Arizona,Bachelor's Degree,2013,593000
Arizona,Graduate degree,2013,324000
Arizona,Not a high school graduate,2014,466000
Arizona,High school diploma or GED,2014,1661000
Arizona,Associate's Degree,2014,308000
Arizona,Bachelor's Degree,2014,597000
Arizona,Graduate degree,2014,333000
Arizona,Not a high school graduate,2015,479000
Arizona,High school diploma or GED,2015,1687000
Arizona,Associate's Degree,2015,306000
Arizona,Bachelor's Degree,2015,614000
Arizona,Graduate degree,2015,331000
Arizona,Not a high school graduate,2016,467000
Arizona,High school diploma or GED,2016,1685000
Arizona,Associate's Degree,2016,308000
Arizona,Bachelor's Degree,2016,649000
Arizona,Graduate degree,2016,348000
Arizona,Not a high school graduate,2017,459000
Arizona,High school diploma or GED,2017,1697000
Arizona,Associate's Degree,2017,324000
Arizona,Bachelor's Degree,2017,669000
Arizona,Graduate degree,2017,361000
Arizona,Not a high school graduate,2018,449000
Arizona,High school diploma or GED,2018,1734000
Arizona,Associate's Degree,2018,333000
Arizona,Bachelor's Degree,2018,691000
Arizona,Graduate degree,2018,375000
Arkansas,Not a high school graduate,2000,250000
Arkansas,High school diploma or GED,2000,774000
Arkansas,Associate's Degree,2000,70000
Arkansas,Bachelor's Degree,2000,164000
Arkansas,Graduate degree,2000,72000
Arkansas,Not a high school graduate,2001,231000
Arkansas,High school diploma or GED,2001,776000
Arkansas,Associate's Degree,2001,69000
Arkansas,Bachelor's Degree,2001,185000
Arkansas,Graduate degree,2001,76000
Arkansas,Not a high school graduate,2002,219000
Arkansas,High school diploma or GED,2002,769000
Arkansas,Associate's Degree,2002,75000
Arkansas,Bachelor's Degree,2002,204000
Arkansas,Graduate degree,2002,92000
Arkansas,Not a high school graduate,2003,220000
Arkansas,High school diploma or GED,2003,789000
Arkansas,Associate's Degree,2003,75000
Arkansas,Bachelor's Degree,2003,182000
Arkansas,Graduate degree,2003,95000
Arkansas,Not a high school graduate,2004,218000
Arkansas,High school diploma or GED,2004,827000
Arkansas,Associate's Degree,2004,80000
Arkansas,Bachelor's Degree,2004,183000
Arkansas,Graduate degree,2004,89000
Arkansas,Not a high school graduate,2005,213000
Arkansas,High school diploma or GED,2005,825000
Arkansas,Associate's Degree,2005,88000
Arkansas,Bachelor's Degree,2005,195000
Arkansas,Graduate degree,2005,92000
Arkansas,Not a high school graduate,2006,226000
Arkansas,High school diploma or GED,2006,852000
Arkansas,Associate's Degree,2006,91000
Arkansas,Bachelor's Degree,2006,193000
Arkansas,Graduate degree,2006,97000
Arkansas,Not a high school graduate,2007,224000
Arkansas,High school diploma or GED,2007,837000
Arkansas,Associate's Degree,2007,99000
Arkansas,Bachelor's Degree,2007,207000
Arkansas,Graduate degree,2007,96000
Arkansas,Not a high school graduate,2008,216000
Arkansas,High school diploma or GED,2008,863000
Arkansas,Associate's Degree,2008,93000
Arkansas,Bachelor's Degree,2008,201000
Arkansas,Graduate degree,2008,95000
Arkansas,Not a high school graduate,2009,216000
Arkansas,High school diploma or GED,2009,873000
Arkansas,Associate's Degree,2009,102000
Arkansas,Bachelor's Degree,2009,207000
Arkansas,Graduate degree,2009,94000
Arkansas,Not a high school graduate,2010,212000
Arkansas,High school diploma or GED,2010,869000
Arkansas,Associate's Degree,2010,108000
Arkansas,Bachelor's Degree,2010,215000
Arkansas,Graduate degree,2010,95000
Arkansas,Not a high school graduate,2011,208000
Arkansas,High school diploma or GED,2011,879000
Arkansas,Associate's Degree,2011,100000
Arkansas,Bachelor's Degree,2011,217000
Arkansas,Graduate degree,2011,110000
Arkansas,Not a high school graduate,2012,198000
Arkansas,High school diploma or GED,2012,868000
Arkansas,Bachelor's Degree,2012,225000
Arkansas,Graduate degree,2012,110000
Arkansas,Associate's Degree,2012,106000
Arkansas,Not a high school graduate,2013,201000
Arkansas,High school diploma or GED,2013,872000
Arkansas,Associate's Degree,2013,106000
Arkansas,Bachelor's Degree,2013,218000
Arkansas,Graduate degree,2013,110000
Arkansas,Not a high school graduate,2014,186000
Arkansas,High school diploma or GED,2014,869000
Arkansas,Associate's Degree,2014,109000
Arkansas,Bachelor's Degree,2014,226000
Arkansas,Graduate degree,2014,113000
Arkansas,Not a high school graduate,2015,194000
Arkansas,High school diploma or GED,2015,855000
Arkansas,Associate's Degree,2015,116000
Arkansas,Bachelor's Degree,2015,227000
Arkansas,Graduate degree,2015,118000
Arkansas,Not a high school graduate,2016,186000
Arkansas,High school diploma or GED,2016,854000
Arkansas,Associate's Degree,2016,112000
Arkansas,Bachelor's Degree,2016,230000
Arkansas,Graduate degree,2016,122000
Arkansas,Not a high school graduate,2017,179000
Arkansas,High school diploma or GED,2017,841000
Arkansas,Associate's Degree,2017,122000
Arkansas,Not a high school graduate,2018,170000
Arkansas,High school diploma or GED,2018,850000
Arkansas,Associate's Degree,2018,131000
Arkansas,Bachelor's Degree,2018,235000
Arkansas,Graduate degree,2018,129000
Arkansas,Bachelor's Degree,2017,241000
Arkansas,Graduate degree,2017,128000
California,Not a high school graduate,2000,3585000
California,High school diploma or GED,2000,7351000
California,Associate's Degree,2000,1378000
California,Bachelor's Degree,2000,3256000
California,Graduate degree,2000,1760000
California,Not a high school graduate,2001,3610000
California,High school diploma or GED,2001,7328000
California,Associate's Degree,2001,1304000
California,Bachelor's Degree,2001,3334000
California,Graduate degree,2001,1807000
California,Not a high school graduate,2002,3602000
California,High school diploma or GED,2002,7683000
California,Associate's Degree,2002,1402000
California,Bachelor's Degree,2002,3517000
California,Graduate degree,2002,1841000
California,Not a high school graduate,2003,3401000
California,High school diploma or GED,2003,7939000
California,Associate's Degree,2003,1452000
California,Bachelor's Degree,2003,3641000
California,Graduate degree,2003,1970000
California,Not a high school graduate,2004,3398000
California,High school diploma or GED,2004,7948000
California,Associate's Degree,2004,1477000
California,Bachelor's Degree,2004,3726000
California,Graduate degree,2004,1961000
California,Not a high school graduate,2005,3471000
California,High school diploma or GED,2005,7891000
California,Associate's Degree,2005,1504000
California,Bachelor's Degree,2005,3715000
California,Graduate degree,2005,2017000
California,High school diploma or GED,2006,8295000
California,Associate's Degree,2006,1548000
California,Not a high school graduate,2006,3574000
California,Bachelor's Degree,2006,3778000
California,Graduate degree,2006,2010000
California,Not a high school graduate,2007,3599000
California,High school diploma or GED,2007,8259000
California,Associate's Degree,2007,1548000
California,Bachelor's Degree,2007,3863000
California,Graduate degree,2007,2062000
California,Not a high school graduate,2008,3635000
California,High school diploma or GED,2008,8288000
California,Associate's Degree,2008,1546000
California,Bachelor's Degree,2008,3837000
California,Graduate degree,2008,2106000
California,Not a high school graduate,2009,3611000
California,High school diploma or GED,2009,8425000
California,Associate's Degree,2009,1543000
California,Bachelor's Degree,2009,3944000
California,Graduate degree,2009,2117000
California,Not a high school graduate,2010,3649000
California,High school diploma or GED,2010,8489000
California,Associate's Degree,2010,1568000
California,Bachelor's Degree,2010,3966000
California,Graduate degree,2010,2156000
California,Not a high school graduate,2011,3606000
California,High school diploma or GED,2011,8642000
California,Associate's Degree,2011,1588000
California,Bachelor's Degree,2011,4010000
California,Graduate degree,2011,2199000
California,Not a high school graduate,2012,3577000
California,High school diploma or GED,2012,8593000
California,Associate's Degree,2012,1637000
California,Bachelor's Degree,2012,4133000
California,Graduate degree,2012,2241000
California,Not a high school graduate,2013,3581000
California,High school diploma or GED,2013,8709000
California,Associate's Degree,2013,1640000
California,Bachelor's Degree,2013,4120000
California,Graduate degree,2013,2303000
California,Not a high school graduate,2014,3543000
California,High school diploma or GED,2014,8812000
California,Associate's Degree,2014,1644000
California,Bachelor's Degree,2014,4284000
California,Graduate degree,2014,2381000
California,Not a high school graduate,2015,3577000
California,High school diploma or GED,2015,8848000
California,Associate's Degree,2015,1618000
California,Bachelor's Degree,2015,4408000
California,Graduate degree,2015,2445000
California,Not a high school graduate,2016,3525000
California,High school diploma or GED,2016,8765000
California,Associate's Degree,2016,1638000
California,Bachelor's Degree,2016,4501000
California,Graduate degree,2016,2527000
California,Not a high school graduate,2017,3348000
California,High school diploma or GED,2017,8918000
California,Associate's Degree,2017,1656000
California,Bachelor's Degree,2017,4641000
California,Not a high school graduate,2018,3258000
California,High school diploma or GED,2018,8851000
California,Associate's Degree,2018,1693000
California,Bachelor's Degree,2018,4671000
California,Graduate degree,2018,2675000
California,Graduate degree,2017,2611000
Colorado,Not a high school graduate,2000,256000
Colorado,High school diploma or GED,2000,1087000
Colorado,Associate's Degree,2000,170000
Colorado,Bachelor's Degree,2000,537000
Colorado,Graduate degree,2000,275000
Colorado,Not a high school graduate,2001,272000
Colorado,High school diploma or GED,2001,1075000
Colorado,Associate's Degree,2001,181000
Colorado,Bachelor's Degree,2001,566000
Colorado,Graduate degree,2001,286000
Colorado,Not a high school graduate,2002,297000
Colorado,High school diploma or GED,2002,1096000
Colorado,Associate's Degree,2002,184000
Colorado,Bachelor's Degree,2002,577000
Colorado,Graduate degree,2002,292000
Colorado,Not a high school graduate,2003,260000
Colorado,High school diploma or GED,2003,1113000
Colorado,Associate's Degree,2003,192000
Colorado,Bachelor's Degree,2003,586000
Colorado,Graduate degree,2003,315000
Colorado,Not a high school graduate,2004,281000
Colorado,High school diploma or GED,2004,1105000
Colorado,Associate's Degree,2004,210000
Colorado,Bachelor's Degree,2004,564000
Colorado,Graduate degree,2004,303000
Colorado,Not a high school graduate,2005,252000
Colorado,High school diploma or GED,2005,1118000
Colorado,Associate's Degree,2005,216000
Colorado,Bachelor's Degree,2005,620000
Colorado,Graduate degree,2005,316000
Colorado,Not a high school graduate,2006,283000
Colorado,High school diploma or GED,2006,1194000
Colorado,Associate's Degree,2006,216000
Colorado,Bachelor's Degree,2006,616000
Colorado,Graduate degree,2006,333000
Colorado,Not a high school graduate,2007,271000
Colorado,High school diploma or GED,2007,1232000
Colorado,Associate's Degree,2007,219000
Colorado,Bachelor's Degree,2007,649000
Colorado,Graduate degree,2007,340000
Colorado,Not a high school graduate,2008,280000
Colorado,High school diploma or GED,2008,1224000
Colorado,Associate's Degree,2008,227000
Colorado,Bachelor's Degree,2008,668000
Colorado,Graduate degree,2008,352000
Colorado,Not a high school graduate,2009,270000
Colorado,High school diploma or GED,2009,1225000
Colorado,Associate's Degree,2009,234000
Colorado,Bachelor's Degree,2009,675000
Colorado,Graduate degree,2009,356000
Colorado,Not a high school graduate,2010,264000
Colorado,High school diploma or GED,2010,1235000
Colorado,Associate's Degree,2010,232000
Colorado,Bachelor's Degree,2010,687000
Colorado,Graduate degree,2010,358000
Colorado,Not a high school graduate,2011,253000
Colorado,High school diploma or GED,2011,1238000
Colorado,Associate's Degree,2011,253000
Colorado,Bachelor's Degree,2011,694000
Colorado,Graduate degree,2011,374000
Colorado,Not a high school graduate,2012,253000
Colorado,High school diploma or GED,2012,1235000
Colorado,Associate's Degree,2012,254000
Colorado,Bachelor's Degree,2012,709000
Colorado,Graduate degree,2012,382000
Colorado,Not a high school graduate,2013,259000
Colorado,High school diploma or GED,2013,1245000
Colorado,Associate's Degree,2013,257000
Colorado,Bachelor's Degree,2013,722000
Colorado,Graduate degree,2013,387000
Colorado,Not a high school graduate,2014,263000
Colorado,High school diploma or GED,2014,1243000
Colorado,Associate's Degree,2014,256000
Colorado,Bachelor's Degree,2014,736000
Colorado,Graduate degree,2014,407000
Colorado,Not a high school graduate,2015,249000
Colorado,High school diploma or GED,2015,1268000
Colorado,Associate's Degree,2015,260000
Colorado,Bachelor's Degree,2015,769000
Colorado,Graduate degree,2015,414000
Colorado,Not a high school graduate,2016,254000
Colorado,High school diploma or GED,2016,1257000
Colorado,Associate's Degree,2016,275000
Colorado,Bachelor's Degree,2016,784000
Colorado,Graduate degree,2016,433000
Colorado,Not a high school graduate,2017,250000
Colorado,High school diploma or GED,2017,1258000
Colorado,Associate's Degree,2017,263000
Colorado,Bachelor's Degree,2017,834000
Colorado,Not a high school graduate,2018,247000
Colorado,High school diploma or GED,2018,1265000
Colorado,Associate's Degree,2018,271000
Colorado,Bachelor's Degree,2018,843000
Colorado,Graduate degree,2018,467000
Colorado,Graduate degree,2017,443000
Connecticut,Not a high school graduate,2000,188000
Connecticut,High school diploma or GED,2000,807000
Connecticut,Associate's Degree,2000,139000
Connecticut,Bachelor's Degree,2000,387000
Connecticut,Graduate degree,2000,278000
Connecticut,Not a high school graduate,2001,198000
Connecticut,High school diploma or GED,2001,834000
Connecticut,Associate's Degree,2001,144000
Connecticut,Bachelor's Degree,2001,383000
Connecticut,Graduate degree,2001,273000
Connecticut,Not a high school graduate,2002,207000
Connecticut,High school diploma or GED,2002,796000
Connecticut,Associate's Degree,2002,142000
Connecticut,Bachelor's Degree,2002,385000
Connecticut,Graduate degree,2002,269000
Connecticut,Not a high school graduate,2003,172000
Connecticut,High school diploma or GED,2003,859000
Connecticut,Associate's Degree,2003,127000
Connecticut,Bachelor's Degree,2003,410000
Connecticut,Graduate degree,2003,285000
Connecticut,Not a high school graduate,2004,148000
Connecticut,High school diploma or GED,2004,872000
Connecticut,Associate's Degree,2004,141000
Connecticut,Bachelor's Degree,2004,409000
Connecticut,Graduate degree,2004,290000
Connecticut,Not a high school graduate,2005,168000
Connecticut,High school diploma or GED,2005,836000
Connecticut,Associate's Degree,2005,146000
Connecticut,Bachelor's Degree,2005,405000
Connecticut,Graduate degree,2005,303000
Connecticut,Not a high school graduate,2006,165000
Connecticut,High school diploma or GED,2006,887000
Connecticut,Associate's Degree,2006,152000
Connecticut,Bachelor's Degree,2006,404000
Connecticut,Graduate degree,2006,289000
Connecticut,Not a high school graduate,2007,170000
Connecticut,High school diploma or GED,2007,855000
Connecticut,Associate's Degree,2007,157000
Connecticut,Bachelor's Degree,2007,399000
Connecticut,Graduate degree,2007,307000
Connecticut,Not a high school graduate,2008,164000
Connecticut,High school diploma or GED,2008,844000
Connecticut,Associate's Degree,2008,157000
Connecticut,Bachelor's Degree,2008,421000
Connecticut,Graduate degree,2008,301000
Connecticut,Not a high school graduate,2009,171000
Connecticut,High school diploma or GED,2009,839000
Connecticut,Associate's Degree,2009,153000
Connecticut,Bachelor's Degree,2009,414000
Connecticut,Graduate degree,2009,307000
Connecticut,Not a high school graduate,2010,175000
